booking_id,customer_id,source,status,checkin,checkout,oyo_rooms,hotel_id,amount,discount,date
2001,189314,4,3,4/2/2017,4/3/2017,1,252,3215,680,3/26/2017
2002,77901,4,2,4/1/2017,4/2/2017,1,252,2675,567,3/31/2017
2003,199763,4,3,3/24/2017,3/25/2017,1,252,2652,561,3/24/2017
2004,162631,0,2,3/21/2017,3/22/2017,1,252,3366,740,3/20/2017
2005,119697,2,2,3/17/2017,3/18/2017,2,252,6399,1354,3/17/2017
2006,189314,4,4,3/4/2017,3/5/2017,1,252,3237,685,3/3/2017
2007,89798,4,2,3/30/2017,4/2/2017,1,571,13190,3348,3/27/2017
2008,61516,4,2,3/17/2017,3/18/2017,1,571,4126,873,3/16/2017
2009,77745,3,2,3/13/2017,3/14/2017,1,571,3834,811,3/9/2017
2010,164004,3,2,3/12/2017,3/13/2017,1,571,3834,811,3/12/2017
2011,122584,4,2,3/10/2017,3/11/2017,1,571,4224,893,3/9/2017
2012,77745,3,3,3/10/2017,3/13/2017,1,571,12995,2749,3/7/2017
2013,77745,3,3,3/10/2017,3/13/2017,1,571,12281,2598,3/8/2017
2014,122584,4,2,3/6/2017,3/8/2017,1,571,5067,1073,3/4/2017
2015,77745,3,3,3/10/2017,3/13/2017,1,571,12539,2652,3/6/2017
2016,77745,3,3,3/11/2017,3/13/2017,1,571,9357,1980,3/3/2017
2017,66762,4,2,4/1/2017,4/2/2017,1,109,3249,688,3/26/2017
2018,66762,4,2,3/18/2017,3/19/2017,1,109,3119,660,3/14/2017
2019,142194,4,3,3/11/2017,3/12/2017,1,109,3119,660,3/4/2017
2020,66762,4,2,3/4/2017,3/5/2017,1,109,3119,660,3/4/2017
2021,193036,3,3,3/24/2017,3/27/2017,1,88,11372,2406,3/21/2017
2022,193036,3,3,4/7/2017,4/10/2017,1,88,11076,2343,3/22/2017
2023,57835,1,2,3/15/2017,3/17/2017,1,88,6427,1360,3/10/2017
2024,193036,3,2,3/10/2017,3/12/2017,1,88,6492,1374,3/9/2017
2025,42387,1,2,3/10/2017,3/11/2017,1,88,2568,543,3/6/2017
2026,193036,3,2,3/9/2017,3/10/2017,1,88,2561,542,3/8/2017
2027,193036,3,3,3/6/2017,3/12/2017,1,88,17893,3785,3/2/2017
2028,175955,4,2,3/2/2017,3/3/2017,1,88,2560,541,3/2/2017
2029,193036,3,2,3/6/2017,3/9/2017,1,88,8822,1867,3/4/2017
2030,144909,4,2,3/11/2017,3/13/2017,1,755,8057,1705,3/1/2017
2031,128934,4,2,3/22/2017,3/24/2017,1,859,3897,825,3/22/2017
2032,26893,0,4,3/13/2017,3/14/2017,1,859,1559,343,3/13/2017
2033,53047,4,2,3/8/2017,3/9/2017,1,859,1624,343,3/8/2017
2034,171586,1,2,3/15/2017,3/16/2017,1,232,2040,431,3/14/2017
2035,22534,3,2,3/8/2017,3/9/2017,1,232,3032,641,3/8/2017
2036,93174,3,2,3/7/2017,3/8/2017,1,232,2181,462,3/7/2017
2037,22534,3,2,3/6/2017,3/8/2017,1,232,4007,848,3/6/2017
2038,175955,4,2,3/28/2017,3/29/2017,1,195,2022,428,3/28/2017
2039,175955,4,2,3/13/2017,3/14/2017,1,195,2392,506,3/13/2017
2040,47628,4,2,3/8/2017,3/9/2017,1,195,2285,580,3/8/2017
2041,100771,3,2,3/7/2017,3/8/2017,1,195,2674,565,3/6/2017
2042,187466,4,2,3/5/2017,3/6/2017,1,195,1997,422,3/4/2017
2043,189081,3,3,3/6/2017,3/7/2017,1,195,2722,576,3/6/2017
2044,175582,1,2,3/4/2017,3/5/2017,1,195,2365,501,3/3/2017
2045,21196,3,2,3/3/2017,3/4/2017,1,195,2540,538,3/3/2017
2046,21196,3,3,3/3/2017,3/4/2017,1,195,1859,394,3/3/2017
2047,188210,4,2,3/2/2017,3/3/2017,1,195,1386,352,3/2/2017
2048,100771,3,2,3/1/2017,3/2/2017,1,195,2014,426,3/1/2017
2049,102620,4,2,3/9/2017,3/10/2017,1,195,3374,857,3/9/2017
2050,47827,3,2,3/27/2017,3/28/2017,1,468,2491,527,3/27/2017
2051,183383,3,2,3/31/2017,4/1/2017,1,468,2924,618,3/31/2017
2052,183383,3,2,3/30/2017,3/31/2017,1,468,2924,618,3/30/2017
2053,122286,3,2,3/11/2017,3/12/2017,1,468,2989,633,3/11/2017
2054,122286,3,3,3/12/2017,3/13/2017,1,468,3119,660,3/11/2017
2055,161917,4,2,3/23/2017,3/24/2017,1,468,2491,527,3/23/2017
2056,185451,3,3,3/21/2017,3/22/2017,1,468,2166,459,3/19/2017
2057,172023,3,3,3/18/2017,3/19/2017,1,152,2664,563,3/13/2017
2058,192119,3,2,4/1/2017,4/2/2017,1,194,2079,440,3/29/2017
2059,172023,3,2,3/24/2017,3/26/2017,1,194,4677,990,3/18/2017
2060,58266,4,2,3/18/2017,3/19/2017,1,194,2339,495,3/9/2017
2061,172023,3,2,3/18/2017,3/19/2017,1,194,2404,508,3/14/2017
2062,112916,4,2,3/10/2017,3/11/2017,1,194,2274,481,3/9/2017
2063,24582,4,2,4/1/2017,4/2/2017,1,160,2859,605,3/30/2017
2064,71382,0,2,4/3/2017,4/4/2017,1,486,2664,712,3/27/2017
2065,169072,4,2,3/31/2017,4/1/2017,1,486,2144,453,3/30/2017
2066,149163,4,2,3/30/2017,3/31/2017,1,486,1754,371,3/30/2017
2067,149163,4,2,3/30/2017,3/31/2017,3,486,5651,1196,3/30/2017
2068,160482,0,3,3/25/2017,3/26/2017,1,486,3314,729,3/24/2017
2069,179762,4,2,3/22/2017,3/24/2017,1,486,4417,935,3/21/2017
2070,148274,1,2,3/15/2017,3/18/2017,1,486,7601,1608,3/13/2017
2071,130739,0,2,3/17/2017,3/18/2017,1,486,2404,529,3/14/2017
2072,86676,1,2,3/16/2017,3/17/2017,1,486,2209,468,3/14/2017
2073,71382,0,2,3/10/2017,3/11/2017,1,486,2404,611,3/8/2017
2074,190191,0,2,3/7/2017,3/8/2017,1,486,2014,443,3/7/2017
2075,115643,3,2,3/6/2017,3/7/2017,1,486,2794,591,3/6/2017
2076,190191,0,2,3/5/2017,3/7/2017,1,486,4417,971,3/5/2017
2077,118918,4,3,3/2/2017,3/3/2017,1,486,2144,453,3/2/2017
2078,76337,4,2,3/11/2017,3/12/2017,1,486,2599,660,3/11/2017
2079,71382,0,2,3/7/2017,3/10/2017,1,486,6560,1443,3/6/2017
2080,55529,1,2,3/18/2017,3/19/2017,1,153,2144,453,3/17/2017
2081,52458,4,2,3/31/2017,4/7/2017,1,402,11166,2362,3/29/2017
2082,69650,4,2,3/19/2017,3/20/2017,3,402,4091,866,3/19/2017
2083,67529,1,2,3/17/2017,3/18/2017,1,402,1299,275,3/16/2017
2084,171522,4,2,3/17/2017,3/18/2017,1,402,1624,343,3/17/2017
2085,189413,1,2,3/11/2017,3/12/2017,2,250,5067,1073,3/3/2017
2086,39916,3,2,3/22/2017,3/23/2017,1,250,1884,398,3/22/2017
2087,122584,4,2,3/8/2017,3/10/2017,1,846,6107,1293,3/7/2017
2088,19960,1,2,4/1/2017,4/2/2017,1,405,5004,1058,3/31/2017
2089,130034,4,2,3/21/2017,3/23/2017,1,107,5587,1183,3/14/2017
2090,59986,3,2,3/30/2017,3/31/2017,1,383,2209,468,3/30/2017
2091,70651,4,2,3/21/2017,3/22/2017,1,383,2729,578,3/21/2017
2092,70651,4,2,3/20/2017,3/21/2017,1,383,2469,523,3/20/2017
2093,70651,4,2,3/1/2017,3/2/2017,1,383,2794,591,3/1/2017
2094,106210,0,3,3/30/2017,3/31/2017,1,274,2014,443,3/29/2017
2095,106210,0,2,3/27/2017,3/30/2017,1,274,6930,1525,3/16/2017
2096,59140,4,2,3/2/2017,3/3/2017,1,274,3769,798,3/2/2017
2097,116485,1,2,3/19/2017,3/20/2017,1,56,1950,413,3/17/2017
2098,50932,4,3,3/23/2017,3/27/2017,1,56,15486,3276,3/21/2017
2099,8656,4,2,3/12/2017,3/13/2017,1,583,3054,646,3/12/2017
2100,51469,3,2,3/11/2017,3/12/2017,1,583,2859,605,3/10/2017
2101,8656,4,2,3/10/2017,3/11/2017,1,583,2729,578,3/9/2017
2102,8656,4,2,3/8/2017,3/9/2017,1,583,2274,481,3/8/2017
2103,41098,4,2,3/4/2017,3/5/2017,1,583,2014,426,3/4/2017
2104,17049,4,3,3/20/2017,3/21/2017,1,583,2924,618,3/11/2017
2105,140507,4,2,4/7/2017,4/8/2017,2,245,5792,1225,3/11/2017
2106,66909,4,2,3/8/2017,3/10/2017,1,245,4389,928,3/7/2017
2107,57569,4,2,4/1/2017,4/4/2017,1,944,9122,1929,3/31/2017
2108,83992,4,2,3/15/2017,3/17/2017,1,944,3739,791,3/15/2017
2109,76836,4,2,3/14/2017,3/16/2017,1,944,4347,920,3/6/2017
2110,96585,0,2,4/6/2017,4/7/2017,1,295,2859,629,3/27/2017
2111,70558,1,2,3/25/2017,3/26/2017,1,295,3184,673,3/20/2017
2112,96585,0,2,3/15/2017,3/17/2017,1,295,5067,1114,3/13/2017
2113,30752,0,2,3/14/2017,3/15/2017,1,295,2534,558,3/12/2017
2114,85427,4,2,3/3/2017,3/4/2017,1,295,2599,550,3/3/2017
2115,163829,4,2,3/25/2017,3/27/2017,1,86,5299,1121,3/23/2017
2116,159448,0,2,3/20/2017,3/25/2017,1,86,8860,1949,3/4/2017
2117,47251,0,2,3/16/2017,3/17/2017,1,86,2764,608,3/15/2017
2118,47251,0,2,3/14/2017,3/16/2017,1,86,5754,1266,3/14/2017
2119,57801,3,3,3/2/2017,3/3/2017,1,86,1897,402,3/1/2017
2120,57801,3,3,4/2/2017,4/3/2017,1,161,2280,483,3/31/2017
2121,57801,3,2,3/31/2017,4/1/2017,1,161,1929,408,3/31/2017
2122,57801,3,3,4/1/2017,4/2/2017,1,161,2872,607,3/31/2017
2123,57801,3,2,3/30/2017,3/31/2017,1,161,1819,385,3/30/2017
2124,57801,3,2,3/27/2017,3/28/2017,1,161,1639,347,3/27/2017
2125,98247,4,2,3/27/2017,3/28/2017,1,161,1871,396,3/27/2017
2126,57801,3,2,3/26/2017,3/27/2017,1,161,1993,421,3/26/2017
2127,134930,1,3,3/26/2017,3/31/2017,1,161,9237,1954,3/26/2017
2128,57801,3,2,3/23/2017,3/24/2017,1,161,1923,407,3/22/2017
2129,57801,3,3,3/24/2017,3/25/2017,1,161,2179,461,3/23/2017
2130,31412,3,2,3/23/2017,3/24/2017,1,161,1949,413,3/23/2017
2131,57801,3,2,3/22/2017,3/23/2017,1,161,2181,462,3/21/2017
2132,57801,3,2,3/20/2017,3/21/2017,1,161,2067,438,3/20/2017
2133,57801,3,2,3/19/2017,3/20/2017,1,161,1791,380,3/19/2017
2134,57801,3,3,3/20/2017,3/21/2017,1,161,2198,465,3/19/2017
2135,57801,3,2,3/21/2017,3/22/2017,1,161,2231,472,3/21/2017
2136,57801,3,3,3/21/2017,3/22/2017,1,161,2387,505,3/20/2017
2137,179762,4,2,3/21/2017,3/22/2017,1,471,2079,440,3/20/2017
2138,648,4,2,4/13/2017,4/17/2017,1,248,14815,3761,3/22/2017
2139,87768,3,2,3/28/2017,3/29/2017,1,248,2859,605,3/27/2017
2140,105035,4,2,3/25/2017,3/27/2017,1,248,4807,1018,3/22/2017
2141,117378,3,3,3/24/2017,3/26/2017,1,248,7277,1540,3/3/2017
2142,57757,4,3,6/8/2017,6/11/2017,1,760,8966,1896,3/8/2017
2143,15169,3,3,4/21/2017,4/23/2017,1,760,5047,1068,3/17/2017
2144,15169,3,3,4/21/2017,4/23/2017,1,760,5047,1068,3/17/2017
2145,15169,3,3,4/21/2017,4/23/2017,1,760,5026,1064,3/19/2017
2146,15169,3,3,4/21/2017,4/23/2017,2,760,10052,2126,3/19/2017
2147,139399,4,3,4/12/2017,4/16/2017,1,760,9677,2456,3/31/2017
2148,138286,2,2,3/21/2017,3/22/2017,1,355,2794,591,3/21/2017
2149,39916,3,2,3/21/2017,3/22/2017,1,933,1780,376,3/21/2017
2150,186707,4,2,6/22/2017,6/25/2017,1,385,10721,2268,3/30/2017
2151,173516,4,2,3/11/2017,3/12/2017,1,597,3379,715,3/11/2017
2152,26389,4,2,3/31/2017,4/1/2017,1,154,2014,426,3/31/2017
2153,26389,4,2,3/24/2017,3/25/2017,1,154,2209,468,3/24/2017
2154,26389,4,2,3/13/2017,3/14/2017,1,154,2599,550,3/12/2017
2155,196829,0,2,3/6/2017,3/9/2017,1,154,5066,1114,3/4/2017
2156,26389,4,2,3/17/2017,3/18/2017,1,154,2209,468,3/17/2017
2157,124236,0,2,4/1/2017,4/3/2017,1,84,5067,1114,3/31/2017
2158,169072,4,2,3/28/2017,3/29/2017,1,84,1624,343,3/27/2017
2159,52281,3,2,3/18/2017,3/20/2017,1,84,3637,770,3/18/2017
2160,52281,3,3,3/18/2017,3/19/2017,1,84,2079,440,3/18/2017
2161,52281,3,3,3/18/2017,3/20/2017,1,84,3637,770,3/18/2017
2162,66762,4,2,3/11/2017,3/12/2017,1,84,3314,701,3/9/2017
2163,147466,2,4,3/12/2017,3/13/2017,1,894,2014,426,3/12/2017
2164,82641,0,3,3/10/2017,3/11/2017,2,894,6497,1429,3/10/2017
2165,194199,3,3,3/18/2017,3/19/2017,1,907,2469,523,3/18/2017
2166,196829,4,2,3/26/2017,3/31/2017,1,612,8899,1882,3/24/2017
2167,164004,3,2,3/18/2017,3/19/2017,1,612,2729,578,3/18/2017
2168,55369,4,2,3/8/2017,3/11/2017,1,612,5390,1141,3/5/2017
2169,55369,4,2,3/7/2017,3/8/2017,1,612,2144,453,3/7/2017
2170,47628,4,2,3/18/2017,3/19/2017,1,251,2014,426,3/18/2017
2171,100829,1,2,3/25/2017,3/26/2017,2,975,4287,908,3/14/2017
2172,73181,4,2,3/19/2017,3/20/2017,1,756,1884,398,3/18/2017
2173,73181,4,2,3/17/2017,3/19/2017,1,756,4742,1203,3/17/2017
2174,52617,4,2,3/18/2017,3/20/2017,1,756,5392,1141,3/18/2017
2175,113777,4,2,3/28/2017,3/29/2017,1,83,1798,381,3/28/2017
2176,168544,4,2,3/22/2017,3/26/2017,1,83,10884,2302,3/22/2017
2177,97348,4,2,3/25/2017,3/26/2017,1,83,3524,746,3/22/2017
2178,141329,4,4,3/25/2017,3/26/2017,1,83,3501,740,3/25/2017
2179,87053,0,3,3/25/2017,3/26/2017,1,83,2751,605,3/11/2017
2180,127496,3,3,3/18/2017,3/19/2017,1,83,3008,637,3/18/2017
2181,109973,4,3,3/13/2017,3/14/2017,1,83,1840,389,3/12/2017
2182,82881,4,3,4/14/2017,4/17/2017,1,106,10526,2226,3/29/2017
2183,82026,4,2,3/31/2017,4/1/2017,1,106,1949,413,3/31/2017
2184,82881,4,3,4/14/2017,4/17/2017,1,106,10526,2226,3/1/2017
2185,73651,4,2,3/18/2017,3/19/2017,1,106,2274,481,3/18/2017
2186,132459,4,2,3/29/2017,3/30/2017,1,244,1712,362,3/29/2017
2187,99817,1,2,3/24/2017,3/25/2017,1,244,2678,567,3/23/2017
2188,179948,4,2,3/12/2017,3/13/2017,1,244,2404,611,3/10/2017
2189,99817,1,2,3/8/2017,3/9/2017,1,244,1884,398,3/8/2017
2190,199850,4,3,3/5/2017,3/6/2017,1,244,2144,453,3/4/2017
2191,122311,4,3,4/7/2017,4/10/2017,1,408,6041,1278,3/19/2017
2192,118052,1,2,3/9/2017,3/11/2017,1,554,4612,976,3/9/2017
2193,79360,4,2,3/12/2017,3/13/2017,1,353,2664,563,3/11/2017
2194,191727,4,2,3/29/2017,3/30/2017,1,757,1859,472,3/29/2017
2195,15976,3,3,3/28/2017,3/29/2017,1,757,2460,520,3/26/2017
2196,141329,4,2,3/19/2017,3/20/2017,1,757,2821,597,3/14/2017
2197,3427,3,2,3/17/2017,3/18/2017,1,691,2093,443,3/16/2017
2198,86713,4,2,3/31/2017,4/1/2017,1,691,1594,338,3/31/2017
2199,3427,1,4,3/15/2017,3/16/2017,1,691,2490,527,3/15/2017
2200,168634,4,2,3/8/2017,3/9/2017,1,691,1962,498,3/7/2017
2201,172114,4,2,3/2/2017,3/3/2017,1,691,1808,383,3/2/2017
2202,172114,4,2,3/1/2017,3/2/2017,1,691,2053,435,3/1/2017
2203,137492,4,2,3/11/2017,3/12/2017,1,820,2144,453,3/11/2017
2204,137492,4,2,3/2/2017,3/3/2017,1,820,2274,481,3/2/2017
2205,15445,4,2,3/24/2017,3/25/2017,1,856,4484,948,3/24/2017
2206,55490,0,2,3/7/2017,3/10/2017,1,280,6236,1583,3/4/2017
2207,33838,0,2,3/24/2017,3/25/2017,1,978,3899,990,3/24/2017
2208,33838,0,3,3/24/2017,3/25/2017,1,978,3899,990,3/24/2017
2209,149275,0,2,3/16/2017,3/17/2017,1,978,3769,829,3/16/2017
2210,142291,4,2,3/13/2017,3/15/2017,1,978,8252,1746,3/13/2017
2211,41034,0,3,3/1/2017,3/3/2017,1,978,7732,1701,3/1/2017
2212,74224,3,2,3/11/2017,3/12/2017,1,633,3964,838,3/11/2017
2213,128523,3,3,3/26/2017,3/27/2017,1,888,3388,717,3/26/2017
2214,55660,0,2,3/20/2017,3/21/2017,1,219,1689,372,3/19/2017
2215,4328,4,2,3/22/2017,3/23/2017,1,635,2014,426,3/22/2017
2216,151151,4,3,3/20/2017,3/21/2017,2,635,3897,825,3/19/2017
2217,137492,4,2,3/13/2017,3/14/2017,1,635,1949,413,3/13/2017
2218,162206,1,2,3/10/2017,3/11/2017,1,841,2534,536,3/8/2017
2219,184825,4,4,3/22/2017,3/23/2017,1,220,1754,446,3/22/2017
2220,181249,4,2,3/9/2017,3/10/2017,1,220,1494,316,3/8/2017
2221,181249,4,2,3/8/2017,3/9/2017,1,220,1494,316,3/7/2017
2222,111743,4,3,3/25/2017,3/26/2017,1,220,2014,426,3/25/2017
2223,53008,3,2,4/1/2017,4/2/2017,1,299,3314,701,3/31/2017
2224,170335,4,2,3/31/2017,4/1/2017,1,299,2989,633,3/31/2017
2225,130583,3,2,3/19/2017,3/20/2017,1,299,4029,853,3/18/2017
2226,153664,4,2,3/8/2017,3/9/2017,1,299,3444,728,3/7/2017
2227,189735,3,2,4/18/2017,4/19/2017,1,315,3050,646,3/25/2017
2228,188854,4,2,3/27/2017,3/28/2017,1,315,3296,697,3/25/2017
2229,101173,4,2,3/24/2017,3/25/2017,1,315,3016,638,3/23/2017
2230,84287,4,3,3/24/2017,3/25/2017,1,315,3189,674,3/23/2017
2231,183032,4,2,3/23/2017,3/24/2017,1,315,3189,674,3/19/2017
2232,188854,4,3,3/26/2017,3/27/2017,1,315,3280,694,3/21/2017
2233,134413,3,3,4/1/2017,4/2/2017,1,315,4125,872,3/28/2017
2234,183919,4,2,3/19/2017,3/20/2017,1,315,3224,682,3/19/2017
2235,188854,4,3,3/19/2017,3/20/2017,1,315,3189,674,3/17/2017
2236,101173,4,2,3/16/2017,3/18/2017,1,315,5546,1174,3/15/2017
2237,56558,4,2,3/17/2017,3/18/2017,1,315,3285,695,3/17/2017
2238,101173,4,2,3/11/2017,3/12/2017,1,315,2812,595,3/11/2017
2239,188854,4,3,3/10/2017,3/11/2017,1,315,3488,738,3/9/2017
2240,188854,4,3,3/9/2017,3/10/2017,1,315,3189,674,3/8/2017
2241,82864,4,2,3/7/2017,3/8/2017,1,315,2773,586,3/7/2017
2242,188854,4,3,3/7/2017,3/8/2017,1,315,3189,674,3/6/2017
2243,188854,4,2,3/12/2017,3/13/2017,1,315,3272,692,3/9/2017
2244,121464,4,3,3/12/2017,3/13/2017,1,315,3272,692,3/9/2017
2245,101173,1,2,3/6/2017,3/11/2017,1,315,14931,3158,3/4/2017
2246,121464,4,3,3/11/2017,3/12/2017,1,315,3189,674,3/9/2017
2247,66504,4,2,4/1/2017,4/3/2017,3,309,14422,3051,3/31/2017
2248,21651,0,2,3/15/2017,3/18/2017,1,309,7145,1572,3/14/2017
2249,64580,0,3,3/6/2017,3/20/2017,3,309,119629,26319,3/6/2017
2250,106125,4,3,3/11/2017,3/12/2017,1,48,2924,743,3/11/2017
2251,67743,0,3,3/7/2017,3/8/2017,1,48,2794,710,3/6/2017
2252,137899,4,2,3/21/2017,3/22/2017,1,557,2209,468,3/21/2017
2253,154070,4,3,3/21/2017,3/22/2017,1,557,2469,523,3/21/2017
2254,156506,0,2,3/16/2017,3/17/2017,1,557,2144,472,3/16/2017
2255,111771,4,3,3/15/2017,3/16/2017,1,557,2469,627,3/15/2017
2256,31316,3,4,3/12/2017,3/13/2017,1,557,2469,523,3/12/2017
2257,146507,0,3,3/10/2017,3/11/2017,1,557,2924,644,3/10/2017
2258,11989,0,4,3/6/2017,3/7/2017,1,557,2924,644,3/6/2017
2259,183359,4,2,3/5/2017,3/7/2017,1,132,6757,1430,3/1/2017
2260,91936,4,3,3/3/2017,3/4/2017,1,132,4354,921,3/3/2017
2261,145651,4,2,3/30/2017,3/31/2017,1,883,3588,759,3/29/2017
2262,4377,4,2,3/28/2017,3/29/2017,1,883,3588,911,3/28/2017
2263,122970,2,2,3/21/2017,3/24/2017,1,883,9360,1980,3/21/2017
2264,18586,4,2,3/12/2017,3/14/2017,1,883,7176,1518,3/12/2017
2265,17715,4,2,3/3/2017,3/4/2017,1,883,3120,792,3/3/2017
2266,2263,0,2,3/1/2017,3/2/2017,1,883,3120,686,3/1/2017
2267,99465,0,2,4/9/2017,4/13/2017,1,473,10135,2230,3/28/2017
2268,59211,3,2,3/21/2017,3/22/2017,1,473,2209,561,3/20/2017
2269,122970,2,4,3/16/2017,3/17/2017,1,473,2014,426,3/16/2017
2270,33978,4,2,3/13/2017,3/17/2017,1,473,8705,1841,3/10/2017
2271,19221,0,2,3/16/2017,3/17/2017,1,473,2209,486,3/16/2017
2272,728,4,3,3/10/2017,3/11/2017,2,473,4677,990,3/8/2017
2273,10067,4,3,3/9/2017,3/10/2017,1,473,2144,453,3/7/2017
2274,145519,4,3,3/4/2017,3/5/2017,2,473,4937,1045,3/3/2017
2275,76847,1,2,3/2/2017,3/4/2017,1,473,4157,880,3/1/2017
2276,40129,0,2,3/3/2017,3/4/2017,1,473,1949,495,3/3/2017
2277,8605,3,3,3/4/2017,3/5/2017,1,170,2339,495,3/4/2017
2278,2861,4,3,3/25/2017,3/26/2017,1,73,4484,948,3/25/2017
2279,62527,4,2,3/15/2017,3/16/2017,1,73,2989,633,3/6/2017
2280,107041,1,3,3/16/2017,3/17/2017,1,73,2664,563,3/6/2017
2281,198621,1,3,3/18/2017,3/19/2017,1,422,4614,976,3/18/2017
2282,186697,3,2,3/20/2017,3/24/2017,1,229,15595,3299,3/19/2017
2283,186697,3,4,3/17/2017,3/20/2017,1,229,11501,2433,3/16/2017
2284,198949,4,2,3/8/2017,3/9/2017,1,229,4159,880,3/8/2017
2285,193867,3,3,3/7/2017,3/8/2017,1,229,4159,880,3/7/2017
2286,158427,0,2,4/2/2017,4/7/2017,1,427,22809,5018,3/22/2017
2287,158427,0,2,4/3/2017,4/7/2017,1,427,18195,4003,3/22/2017
2288,158427,0,2,4/2/2017,4/5/2017,1,427,13841,3045,3/22/2017
2289,158427,0,2,4/3/2017,4/5/2017,1,427,9097,2001,3/29/2017
2290,158427,0,2,4/2/2017,4/5/2017,1,427,13322,3381,3/29/2017
2291,158427,0,2,4/3/2017,4/4/2017,1,427,4614,1015,3/22/2017
2292,158427,0,3,4/2/2017,4/3/2017,2,427,8447,2144,3/29/2017
2293,106125,4,3,3/21/2017,3/22/2017,1,89,3120,792,3/21/2017
2294,142836,3,3,3/23/2017,3/24/2017,1,99,6174,1568,3/23/2017
2295,43107,3,2,3/11/2017,3/12/2017,1,99,4419,935,3/11/2017
2296,55188,0,2,4/1/2017,4/2/2017,1,357,3769,829,3/31/2017
2297,189377,3,2,4/1/2017,4/2/2017,1,357,4549,963,3/27/2017
2298,195863,4,3,4/1/2017,4/2/2017,1,357,3769,798,3/31/2017
2299,139526,4,2,3/16/2017,3/17/2017,1,357,3444,728,3/16/2017
2300,189288,4,2,3/13/2017,3/14/2017,1,357,3249,688,3/13/2017
2301,189288,4,2,3/11/2017,3/13/2017,1,357,7537,1595,3/11/2017
2302,168493,3,3,3/10/2017,3/11/2017,1,357,4549,963,3/10/2017
2303,10444,3,2,3/8/2017,3/9/2017,1,357,3184,673,3/8/2017
2304,57736,0,3,3/10/2017,3/11/2017,1,357,5264,1594,3/8/2017
2305,57736,0,3,3/9/2017,3/10/2017,1,357,3964,1154,3/8/2017
2306,189223,3,3,3/8/2017,3/9/2017,1,357,3964,1007,3/8/2017
2307,54842,0,3,3/23/2017,3/27/2017,1,817,22417,5768,3/23/2017
2308,54842,0,2,3/23/2017,3/27/2017,1,817,21897,5558,3/23/2017
2309,121464,4,3,4/16/2017,4/17/2017,1,301,3054,646,3/17/2017
2310,13982,3,3,3/30/2017,3/31/2017,1,301,2664,677,3/26/2017
2311,57210,0,3,3/23/2017,3/24/2017,1,301,3314,729,3/22/2017
2312,134413,3,3,3/21/2017,3/22/2017,1,301,3444,728,3/19/2017
2313,134413,4,3,3/23/2017,3/24/2017,1,301,2924,618,3/15/2017
2314,121464,4,3,3/13/2017,3/14/2017,1,301,3249,688,3/9/2017
2315,62390,4,3,3/16/2017,3/17/2017,1,301,2924,618,3/10/2017
2316,170106,3,3,3/20/2017,3/21/2017,1,301,2924,618,3/8/2017
2317,92557,0,2,3/7/2017,3/8/2017,1,301,2924,644,3/7/2017
2318,171359,4,2,3/24/2017,3/25/2017,1,301,3379,715,3/24/2017
